oracle_id,elo,mainboard,pickrate,picks,mainboards,name,mana_cost,type_line,oracle_text,rarity,colors,power,toughness,loyalty
7f77a84e-5a4b-4834-aefa-3cecc175ae8e,1692,1.0,0.3095238095238095,26,8,"Jace, the Mind Sculptor",{2}{U}{U},Legendary Planeswalker — Jace,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
0: Draw three cards, then put two cards from your hand on top of your library in any order.
−1: Return target creature to its owner's hand.
−12: Exile all cards from target player's library, then that player shuffles their hand into their library.",mythic,U,0,0,3.0
5def9f38-0a0b-4e8d-9f9d-29dcb46520b4,1508,1.0,0.1764705882352941,21,8,Esper Sentinel,{W},Artifact Creature — Human Soldier,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is Esper Sentinel's power.",rare,W,1,1,0.0
0bbcb563-09b3-499d-a9cc-3a6d7501dd81,1232,0.6666666666666666,0.0821256038647343,17,4,Collected Company,{3}{G},Instant,Look at the top six cards of your library. Put up to two creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in any order.,mythic,G,0,0,0.0
176f5ba8-6e7b-4234-a298-b6164f51656f,1024,1.0,0.064516129032258,8,2,"Inti, Seneschal of the Sun",{1}{R},Legendary Creature — Human Knight,"Whenever you attack, you may discard a card. When you do, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.
Whenever you discard one or more cards, exile the top card of your library. You may play that card until your next end step.",rare,R,2,2,0.0
c823e687-6311-4c99-974b-fd77d204141a,1652,1.0,0.2903225806451613,18,3,Timetwister,{2}{U},Sorcery,"Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)",rare,U,0,0,0.0
86bf58f2-7f25-4e10-b797-25e0e8e67769,1198,1.0,0.1214285714285714,17,5,Flusterstorm,{U},Instant,"Counter target instant or sorcery spell unless its controller pays {1}.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",rare,U,0,0,0.0
3123ec89-8e95-4761-ba17-747ec667509f,1682,1.0,0.2361111111111111,34,13,Spara's Headquarters,0,Land — Forest Plains Island,"({T}: Add {G}, {W}, or {U}.)
Spara's Headquarters enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",rare,C,0,0,0.0
8c1fe337-375a-4add-93b6-0ac39ed72b4f,1570,0.9166666666666666,0.171875,22,11,Natural Order,{2}{G}{G},Sorcery,"As an additional cost to cast this spell, sacrifice a green creature.
Search your library for a green creature card, put it onto the battlefield, then shuffle.",mythic,G,0,0,0.0
254878f0-be90-4653-a395-0c41258fceaf,1238,0.0,0.1527777777777778,11,0,Tinker,{2}{U},Sorcery,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card, put that card onto the battlefield, then shuffle.",uncommon,U,0,0,0.0
7fffbe7f-ad78-4bb6-a611-c37e495c6ee0,896,1.0,0.0544217687074829,8,1,Kappa Cannoneer,{5}{U},Artifact Creature — Turtle Warrior,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Ward {4}
Whenever Kappa Cannoneer or another artifact you control enters, put a +1/+1 counter on Kappa Cannoneer and it can't be blocked this turn.",rare,U,4,4,0.0
2b8afa9f-4236-4c02-a8d5-3c145caecfd6,892,0.0,0.0588235294117647,9,0,Rift Bolt,{2}{R},Sorcery,"Rift Bolt deals 3 damage to any target.
Suspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)",common,R,0,0,0.0
7cafc972-a6f5-4cac-a3d3-8a3ae36ffb1e,1454,0.5,0.1129032258064516,14,2,Upheaval,{4}{U}{U},Sorcery,Return all permanents to their owners' hands.,rare,U,0,0,0.0
1ff25f67-36a7-4cfa-a2b1-2135b5b6fb67,1238,1.0,0.0392156862745098,6,3,Scavenging Ooze,{1}{G},Creature — Ooze,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",rare,G,2,2,0.0
7514e401-7aa1-405d-9f7a-312b4e630cc2,852,0.0,0.017094017094017,2,0,"Etali, Primal Conqueror // Etali, Primal Sickness",0,Legendary Creature — Elder Dinosaur // Legendary Creature — Phyrexian Elder Dinosaur,,rare,C,0,0,0.0
09dd85aa-47bc-4713-a9b9-8b52ff2285ed,1558,0.75,0.1290322580645161,8,3,Misty Rainforest,0,Land,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.",rare,C,0,0,0.0
17039058-822d-409f-938c-b727a366ba63,1128,0.0,0.0888888888888888,8,0,Steam Vents,0,Land — Island Mountain,"({T}: Add {U} or {R}.)
As Steam Vents enters, you may pay 2 life. If you don't, it enters tapped.",rare,C,0,0,0.0
74c0164c-130f-4572-9066-626c77f6e2ff,1284,0.5714285714285714,0.1563636363636363,43,8,Barrowgoyf,{2}{B},Creature — Lhurgoyf,"Deathtouch, lifelink
Barrowgoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
Whenever Barrowgoyf deals combat damage to a player, you may mill that many cards. If you do, you may put a creature card from among them into your hand.",rare,B,*,1+*,0.0
